[Sat Feb 17 06:25:43 2018] INFO: Opened log file Urho3D.log
[Sat Feb 17 06:25:43 2018] INFO: Created 1 worker thread
[Sat Feb 17 06:25:43 2018] INFO: Added resource path /home/anem/Documents/prog_basic/lander/bin/Data/
[Sat Feb 17 06:25:43 2018] INFO: Added resource path /home/anem/Documents/prog_basic/lander/bin/CoreData/
[Sat Feb 17 06:25:44 2018] INFO: Set screen mode 1280x720 windowed monitor 0 resizable
[Sat Feb 17 06:25:44 2018] INFO: Initialized input
[Sat Feb 17 06:25:44 2018] INFO: Initialized user interface
[Sat Feb 17 06:25:44 2018] INFO: Initialized renderer
[Sat Feb 17 06:25:44 2018] INFO: Set audio mode 44100 Hz stereo interpolated
[Sat Feb 17 06:25:44 2018] INFO: Initialized engine
[Sat Feb 17 06:25:44 2018] INFO: Loading scene from lander_scene.xml
[Sat Feb 17 06:25:46 2018] INFO: Keys: tab = toggle mouse, Esc = quit.
60 frames in 1.0182 seconds = 58.927 fps, fuel mass = 410000
[Sat Feb 17 06:25:47 2018] INFO: Keys: tab = toggle mouse, Esc = quit.
56 frames in 1.0213 seconds = 54.830 fps, fuel mass = 409183
[Sat Feb 17 06:25:48 2018] INFO: Keys: tab = toggle mouse, Esc = quit.
48 frames in 1.0074 seconds = 47.644 fps, fuel mass = 408365
[Sat Feb 17 06:25:49 2018] INFO: Keys: tab = toggle mouse, Esc = quit.
47 frames in 1.0069 seconds = 46.675 fps, fuel mass = 408168
[Sat Feb 17 06:25:50 2018] INFO: Keys: tab = toggle mouse, Esc = quit.
45 frames in 1.0101 seconds = 44.548 fps, fuel mass = 407040
[Sat Feb 17 06:25:51 2018] INFO: Keys: tab = toggle mouse, Esc = quit.
44 frames in 1.0220 seconds = 43.049 fps, fuel mass = 406477
[Sat Feb 17 06:25:52 2018] INFO: Keys: tab = toggle mouse, Esc = quit.
40 frames in 1.0026 seconds = 39.894 fps, fuel mass = 406223
[Sat Feb 17 06:25:53 2018] INFO: Keys: tab = toggle mouse, Esc = quit.
40 frames in 1.0199 seconds = 39.218 fps, fuel mass = 405885
[Sat Feb 17 06:25:54 2018] INFO: Keys: tab = toggle mouse, Esc = quit.
